"Positions for CUSTACCS as of 09:13 PM ET, 02/04/2023","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"Individual ...321","","","","","","","","","","","","","","","",""
"Symbol","Description","Quantity","Price","Price Change %","Price Change $","Market Value","Day Change %","Day Change $","Cost Basis","Gain/Loss %","Gain/Loss $","Ratings","Reinvest Dividends?","Capital Gains?","% Of Account","Security Type"
"AMD","ADVANCED MICRO DEVIC","0.133","$86.09","-2.51%","-$2.22","$71.71","-2.51%","-$1.85","$45.00","59.36%","$26.71","C","Yes","--","4.06%","Equity"
"BA","BOEING CO","0.3344","$206.01","-1.59%","-$3.33","$48.29","-1.59%","-$0.78","$44.99","7.33%","$3.30","D","Yes","--","2.73%","Equity"
"KR","KROGER CO","1.5536","$44.42","-1.22%","-$0.55","$68.12","-1.22%","-$0.84","$48.11","41.59%","$20.01","B","Yes","--","3.85%","Equity"
"Cash & Cash Investments","--","--","--","--","--","$5.20","0%","$0.00","--","--","--","--","--","--","0.29%","Cash and Money Market"
"Account Total","--","--","--","--","--","$195.73","-1.77%","-$31.93","$547.79","33.1%","$181.34","--","--","--","--","--"
"","","","","","","","","","","","","","","","",""
"Individual ...432","","","","","","","","","","","","","","","",""
"Symbol","Description","Quantity","Price","Price Change %","Price Change $","Market Value","Day Change %","Day Change $","Cost Basis","Gain/Loss %","Gain/Loss $","Ratings","Reinvest Dividends?","Capital Gains?","% Of Account","Security Type"
"MSFT","MICROSOFT CORP","4","$258.35","-2.36%","-$6.25","$1,033.40","-2.36%","-$25.00","Incomplete","N/A","N/A","B","No","--","58.46%","Equity"
"Cash & Cash Investments","--","--","--","--","--","$25.20","0%","$0.00","--","--","--","--","--","--","0.29%","Cash and Money Market"
"Account Total","--","--","--","--","--","$1,058.60","-1.77%","-$31.93","$547.79","33.1%","$181.34","--","--","--","--","--"
